Site_name,Plot_no,Site_plot_code,Date,Tree_individual_no,Tree_ID,Tree_dbh_cm,Tree_height_m,Tree_N_lianas,Liana_dbh_cm,Tree_notes,Subplot_radius_m
DanumW15,1,F1P1,21/07/2017,2,Shorea pauciflora,110,60,3,10,,30
DanumW15,1,F1P1,21/07/2017,2,Shorea pauciflora,110,60,3,9,,30
DanumW15,1,F1P1,21/07/2017,2,Shorea pauciflora,110,60,3,9.8,,30
DanumW15,1,F1P1,21/07/2017,3,Syzygium,40.5,NA,1,3.4,,30
DanumW15,1,F1P1,21/07/2017,5,Syzygium,62.7,NA,1,3.4,,30
DanumW15,1,F1P1,21/07/2017,7,Pternandra,16.7,10,1,2.9,,20
DanumW15,1,F1P1,21/07/2017,9,Shorea argentifolia,34,NA,2,5.2,,30
DanumW15,1,F1P1,21/07/2017,9,Shorea argentifolia,34,NA,2,5.4,,30
DanumW15,1,F1P1,21/07/2017,11,Shorea fallax,23.7,15,2,2.3,,20
DanumW15,1,F1P1,21/07/2017,11,Shorea fallax,23.7,15,2,4,,20
DanumW15,1,F1P1,21/07/2017,18,Shorea johorensis,105,60,1,7,,30
DanumW15,1,F1P1,21/07/2017,19,Garcinia,14.9,NA,1,6.8,,20
DanumW15,1,F1P1,21/07/2017,17,Diospyros,17,NA,1,2.6,,20
DanumW15,1,F1P1,21/07/2017,21,Aglaia,24.5,12,1,3.1,,20
DanumW15,1,F1P1,21/07/2017,22,Dehaasia,39,NA,1,4.9,,30
DanumW15,2,F1P2,22/07/2017,24,Allophylus cobbe,36,22,2,6.2,,30
DanumW15,2,F1P2,22/07/2017,24,Allophylus cobbe,36,22,2,2.3,,30
DanumW15,2,F1P2,22/07/2017,27,Meliosma sumatrana,37.5,16,1,18,,30
DanumW15,2,F1P2,22/07/2017,28,Parashorea tomentella,65,57,1,7.5,,30
DanumW15,2,F1P2,22/07/2017,29,Shorea johorensis,34.2,NA,1,12,,30
DanumW15,2,F1P2,22/07/2017,31,Lansium domesticum,32,NA,2,2.2,,30
DanumW15,2,F1P2,22/07/2017,31,Lansium domesticum,32,NA,2,7.5,,30
DanumW15,2,F1P2,22/07/2017,32,Vatica sarawakensis,13,NA,3,4.5,,20
DanumW15,2,F1P2,22/07/2017,32,Vatica sarawakensis,13,NA,3,8.3,,20
DanumW15,2,F1P2,22/07/2017,32,Vatica sarawakensis,13,NA,3,7.8,,20
